home_team,away_team,home_goals,away_goals,result,season
Sheffield United,Liverpool,1,1,0,0
Arsenal,Aston Villa,1,1,0,0
Everton,Watford,2,1,1,0
Newcastle United,Wigan Athletic,2,1,1,0
Portsmouth,Blackburn Rovers,3,0,1,0
Reading,Middlesbrough,3,2,1,0
West Ham United,Charlton Athletic,3,1,1,0
Bolton Wanderers,Tottenham Hotspur,2,0,1,0
Manchester United,Fulham,5,1,1,0
Chelsea,Manchester City,3,0,1,0
Watford,West Ham United,1,1,0,0
Tottenham Hotspur,Sheffield United,2,0,1,0
Aston Villa,Reading,2,1,1,0
Manchester City,Portsmouth,0,0,0,0
Blackburn Rovers,Everton,1,1,0,0
Charlton Athletic,Manchester United,0,3,2,0
Fulham,Bolton Wanderers,1,1,0,0
Middlesbrough,Chelsea,2,1,1,0
Liverpool,West Ham United,2,1,1,0
Charlton Athletic,Bolton Wanderers,2,0,1,0
Fulham,Sheffield United,1,0,1,0
Tottenham Hotspur,Everton,0,2,2,0
Watford,Manchester United,1,2,2,0
Wigan Athletic,Reading,1,0,1,0
Manchester City,Arsenal,1,0,1,0
Aston Villa,Newcastle United,2,0,1,0
Blackburn Rovers,Chelsea,0,2,2,0
Middlesbrough,Portsmouth,0,4,2,0
Everton,Liverpool,3,0,1,0
Arsenal,Middlesbrough,1,1,0,0
Bolton Wanderers,Watford,1,0,1,0
Chelsea,Charlton Athletic,2,1,1,0
Newcastle United,Fulham,1,2,2,0
Portsmouth,Wigan Athletic,1,0,1,0
Sheffield United,Blackburn Rovers,0,0,0,0
Manchester United,Tottenham Hotspur,1,0,1,0
West Ham United,Aston Villa,1,1,0,0
Reading,Manchester City,1,0,1,0
Charlton Athletic,Portsmouth,0,1,2,0
Bolton Wanderers,Middlesbrough,0,0,0,0
Everton,Wigan Athletic,2,2,0,0
Sheffield United,Reading,1,2,2,0
Watford,Aston Villa,0,0,0,0
Chelsea,Liverpool,1,0,1,0
Blackburn Rovers,Manchester City,4,2,1,0
Tottenham Hotspur,Fulham,0,0,0,0
West Ham United,Newcastle United,0,2,2,0
Manchester United,Arsenal,0,1,2,0
Liverpool,Newcastle United,2,0,1,0
Liverpool,Tottenham Hotspur,3,0,1,0
Arsenal,Sheffield United,3,0,1,0
Aston Villa,Charlton Athletic,2,0,1,0
Fulham,Chelsea,0,2,2,0
Manchester City,West Ham United,2,0,1,0
Middlesbrough,Blackburn Rovers,0,1,2,0
Wigan Athletic,Watford,1,1,0,0
Reading,Manchester United,1,1,0,0
Newcastle United,Everton,1,1,0,0
Portsmouth,Bolton Wanderers,0,1,2,0
Bolton Wanderers,Liverpool,2,0,1,0
Charlton Athletic,Arsenal,1,2,2,0
Chelsea,Aston Villa,1,1,0,0
Everton,Manchester City,1,1,0,0
Sheffield United,Middlesbrough,2,1,1,0
West Ham United,Reading,0,1,2,0
Blackburn Rovers,Wigan Athletic,2,1,1,0
Manchester United,Newcastle United,2,0,1,0
Tottenham Hotspur,Portsmouth,2,1,1,0
Watford,Fulham,3,3,0,0
Wigan Athletic,Manchester United,1,3,2,0
Arsenal,Watford,3,0,1,0
Aston Villa,Tottenham Hotspur,1,1,0,0
Liverpool,Blackburn Rovers,1,1,0,0
Manchester City,Sheffield United,0,0,0,0
Middlesbrough,Everton,2,1,1,0
Portsmouth,West Ham United,2,0,1,0
Reading,Chelsea,0,1,2,0
Newcastle United,Bolton Wanderers,1,2,2,0
Fulham,Charlton Athletic,2,1,1,0
Wigan Athletic,Manchester City,4,0,1,0
Charlton Athletic,Watford,0,0,0,0
Chelsea,Portsmouth,2,1,1,0
Everton,Sheffield United,2,0,1,0
Aston Villa,Fulham,1,1,0,0
Manchester United,Liverpool,2,0,1,0
Blackburn Rovers,Bolton Wanderers,0,1,2,0
Middlesbrough,Newcastle United,1,0,1,0
Tottenham Hotspur,West Ham United,1,0,1,0
Reading,Arsenal,0,4,2,0
Sheffield United,Chelsea,0,2,2,0
Arsenal,Everton,1,1,0,0
Bolton Wanderers,Manchester United,0,4,2,0
Fulham,Wigan Athletic,0,1,2,0
Liverpool,Aston Villa,3,1,1,0
Portsmouth,Reading,3,1,1,0
Watford,Tottenham Hotspur,0,0,0,0
Newcastle United,Charlton Athletic,0,0,0,0
West Ham United,Blackburn Rovers,2,1,1,0
Manchester City,Middlesbrough,1,0,1,0
Fulham,Everton,1,0,1,0
Bolton Wanderers,Wigan Athletic,0,1,2,0
Charlton Athletic,Manchester City,1,0,1,0
Liverpool,Reading,2,0,1,0
Manchester United,Portsmouth,3,0,1,0
Watford,Middlesbrough,2,0,1,0
Newcastle United,Sheffield United,0,1,2,0
West Ham United,Arsenal,1,0,1,0
Aston Villa,Blackburn Rovers,2,0,1,0
Tottenham Hotspur,Chelsea,2,1,1,0
Manchester City,Newcastle United,0,0,0,0
Chelsea,Watford,4,0,1,0
Everton,Aston Villa,0,1,2,0
Middlesbrough,West Ham United,1,0,1,0
Portsmouth,Fulham,1,1,0,0
Sheffield United,Bolton Wanderers,2,2,0,0
Wigan Athletic,Charlton Athletic,3,2,1,0
Blackburn Rovers,Manchester United,0,1,2,0
Reading,Tottenham Hotspur,3,1,1,0
Arsenal,Liverpool,3,0,1,0
Manchester City,Fulham,3,1,1,0
Arsenal,Newcastle United,1,1,0,0
Chelsea,West Ham United,1,0,1,0
Everton,Bolton Wanderers,1,0,1,0
Portsmouth,Watford,2,1,1,0
Reading,Charlton Athletic,2,0,1,0
Sheffield United,Manchester United,1,2,2,0
Middlesbrough,Liverpool,0,0,0,0
Wigan Athletic,Aston Villa,0,0,0,0
Blackburn Rovers,Tottenham Hotspur,1,1,0,0
Charlton Athletic,Everton,1,1,0,0
Aston Villa,Middlesbrough,1,1,0,0
Fulham,Reading,0,1,2,0
Liverpool,Manchester City,1,0,1,0
West Ham United,Sheffield United,1,0,1,0
Bolton Wanderers,Arsenal,3,1,1,0
Newcastle United,Portsmouth,1,0,1,0
Tottenham Hotspur,Wigan Athletic,3,1,1,0
Manchester United,Chelsea,1,1,0,0
Watford,Sheffield United,0,1,2,0
Aston Villa,Manchester City,1,3,2,0
Fulham,Arsenal,2,1,1,0
Bolton Wanderers,Chelsea,0,1,2,0
Liverpool,Portsmouth,0,0,0,0
Manchester United,Everton,3,0,1,0
Arsenal,Tottenham Hotspur,3,0,1,0
Blackburn Rovers,Fulham,2,0,1,0
Portsmouth,Aston Villa,2,2,0,0
Reading,Bolton Wanderers,1,0,1,0
Sheffield United,Charlton Athletic,2,1,1,0
Wigan Athletic,Liverpool,0,4,2,0
Middlesbrough,Manchester United,1,2,2,0
Everton,West Ham United,2,0,1,0
Manchester City,Watford,0,0,0,0
Charlton Athletic,Blackburn Rovers,1,0,1,0
Tottenham Hotspur,Middlesbrough,2,1,1,0
Newcastle United,Reading,3,2,1,0
West Ham United,Wigan Athletic,0,2,2,0
Manchester United,Manchester City,3,1,1,0
Blackburn Rovers,Newcastle United,1,3,2,0
Liverpool,Fulham,4,0,1,0
Middlesbrough,Wigan Athletic,1,1,0,0
Portsmouth,Everton,2,0,1,0
Tottenham Hotspur,Charlton Athletic,5,1,1,0
Watford,Reading,0,0,0,0
Bolton Wanderers,West Ham United,4,0,1,0
Chelsea,Arsenal,1,1,0,0
Sheffield United,Aston Villa,2,2,0,0
Chelsea,Newcastle United,1,0,1,0
Wigan Athletic,Arsenal,0,1,2,0
Charlton Athletic,Liverpool,0,3,2,0
Arsenal,Portsmouth,2,2,0,0
Newcastle United,Watford,2,1,1,0
Reading,Blackburn Rovers,1,2,2,0
Wigan Athletic,Sheffield United,0,1,2,0
Aston Villa,Bolton Wanderers,0,1,2,0
Everton,Chelsea,2,3,2,0
Manchester City,Tottenham Hotspur,1,2,2,0
West Ham United,Manchester United,1,0,1,0
Fulham,Middlesbrough,2,1,1,0
Fulham,West Ham United,0,0,0,0
Arsenal,Blackburn Rovers,6,2,1,0
Aston Villa,Manchester United,0,3,2,0
Liverpool,Watford,2,0,1,0
Manchester City,Bolton Wanderers,0,2,2,0
Middlesbrough,Charlton Athletic,2,0,1,0
Newcastle United,Tottenham Hotspur,3,1,1,0
Portsmouth,Sheffield United,3,1,1,0
Reading,Everton,0,2,2,0
Wigan Athletic,Chelsea,2,3,2,0
Chelsea,Reading,2,2,0,0
Tottenham Hotspur,Aston Villa,2,1,1,0
West Ham United,Portsmouth,1,2,2,0
Blackburn Rovers,Liverpool,1,0,1,0
Bolton Wanderers,Newcastle United,2,1,1,0
Everton,Middlesbrough,0,0,0,0
Manchester United,Wigan Athletic,3,1,1,0
Sheffield United,Manchester City,0,1,2,0
Watford,Arsenal,1,2,2,0
Charlton Athletic,Fulham,2,2,0,0
Charlton Athletic,Aston Villa,2,1,1,0
Blackburn Rovers,Middlesbrough,2,1,1,0
Bolton Wanderers,Portsmouth,3,2,1,0
Chelsea,Fulham,2,2,0,0
Everton,Newcastle United,3,0,1,0
Manchester United,Reading,3,2,1,0
Tottenham Hotspur,Liverpool,0,1,2,0
West Ham United,Manchester City,0,1,2,0
Sheffield United,Arsenal,1,0,1,0
Liverpool,Bolton Wanderers,3,0,1,0
Fulham,Watford,0,0,0,0
Manchester City,Everton,2,1,1,0
Middlesbrough,Sheffield United,3,1,1,0
Portsmouth,Tottenham Hotspur,1,1,0,0
Reading,West Ham United,6,0,1,0
Wigan Athletic,Blackburn Rovers,0,3,2,0
Newcastle United,Manchester United,2,2,0,0
Arsenal,Charlton Athletic,4,0,1,0
Aston Villa,Chelsea,0,0,0,0
Watford,Liverpool,0,3,2,0
Bolton Wanderers,Manchester City,0,0,0,0
Charlton Athletic,Middlesbrough,1,3,2,0
Chelsea,Wigan Athletic,4,0,1,0
Manchester United,Aston Villa,3,1,1,0
Sheffield United,Portsmouth,1,1,0,0
West Ham United,Fulham,3,3,0,0
Blackburn Rovers,Arsenal,0,2,2,0
Everton,Reading,1,1,0,0
Tottenham Hotspur,Newcastle United,2,3,2,0
Liverpool,Chelsea,2,0,1,0
Aston Villa,Watford,2,0,1,0
Fulham,Tottenham Hotspur,1,1,0,0
Middlesbrough,Bolton Wanderers,5,1,1,0
Newcastle United,West Ham United,2,2,0,0
Portsmouth,Charlton Athletic,0,1,2,0
Reading,Sheffield United,3,1,1,0
Manchester City,Blackburn Rovers,0,3,2,0
Wigan Athletic,Everton,0,2,2,0
Arsenal,Manchester United,2,1,1,0
Watford,Blackburn Rovers,2,1,1,0
Portsmouth,Middlesbrough,0,0,0,0
Sheffield United,Fulham,2,0,1,0
West Ham United,Liverpool,1,2,2,0
Reading,Wigan Athletic,3,2,1,0
Chelsea,Blackburn Rovers,3,0,1,0
Bolton Wanderers,Charlton Athletic,1,1,0,0
Manchester United,Watford,4,0,1,0
Newcastle United,Aston Villa,3,1,1,0
Liverpool,Everton,0,0,0,0
